x,f_hz,V_real,V_imag,l,b,h,rho,E0,eta,F_tip,m_tip,k_phi,k_x,use_ideal
0.2,969.0,-3.8633385421092225e-05,-0.016301913049619622,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,970.0,-3.733418033999905e-05,-0.016292883486526896,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,971.0,-3.610608502421117e-05,-0.01628361836971579,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,972.0,-3.494406681504394e-05,-0.016274131939702004,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,973.0,-3.384353123009571e-05,-0.01626443745451642,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,974.0,-3.280027708988366e-05,-0.016254547272119953,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,975.0,-3.1810456905614027e-05,-0.016244472924730483,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,976.0,-3.087054183630001e-05,-0.01623422518596524,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,977.0,-2.9977290623748728e-05,-0.016223814131589808,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,978.0,-2.9127721998679295e-05,-0.01621324919456786,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,979.0,-2.831909012245112e-05,-0.01620253921502123,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,980.0,-2.7548862689438885e-05,-0.016191692485637642,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,981.0,-2.6814701366155252e-05,-0.016180716792999435,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,982.0,-2.611444428698832e-05,-0.016169619455252058,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,983.0,-2.5446090363473828e-05,-0.016158407356482926,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,984.0,-2.4807785195890188e-05,-0.016147086978138877,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
0.2,985.0,-2.4197808403157287e-05,-0.016135664427774546,0.2,0.01,0.001,2700.0,10000000000.0,0.01,1.0,0.01,10.0,10.0,0
